PlantID,PlantCharacteristicName,PlantCharacteristicValue,PlantCharacteristicCategory,CultivarName,SynonymName
92842,"Planting Density per Acre, Maximum",1100,Growth Requirements,,
92842,"Planting Density per Acre, Minimum",700,Growth Requirements,,
92842,"Precipitation, Maximum",76,Growth Requirements,,
92842,"Precipitation, Minimum",24,Growth Requirements,,
92842,"Root Depth, Minimum (inches)",28,Growth Requirements,,
92842,Salinity Tolerance,None,Growth Requirements,,
92842,Shade Tolerance,Tolerant,Growth Requirements,,
92842,"Temperature, Minimum (°F)",-47,Growth Requirements,,
92842,Bloom Period,Late Spring,Reproduction,,
92842,Commercial Availability,No Known Source,Reproduction,,
92842,Fruit/Seed Abundance,Medium,Reproduction,,
92842,Fruit/Seed Period Begin,Summer,Reproduction,,
92842,Fruit/Seed Period End,Fall,Reproduction,,
92842,Fruit/Seed Persistence,No,Reproduction,,
92842,Propagated by Bare Root,Yes,Reproduction,,
92842,Propagated by Bulb,No,Reproduction,,
92842,Propagated by Container,Yes,Reproduction,,
92842,Propagated by Corm,No,Reproduction,,
92842,Propagated by Cuttings,No,Reproduction,,
92842,Propagated by Seed,Yes,Reproduction,,
92842,Propagated by Sod,No,Reproduction,,
92842,Propagated by Sprigs,No,Reproduction,,
92842,Propagated by Tubers,No,Reproduction,,
92842,Seed per Pound,11360,Reproduction,,
92842,Seed Spread Rate,Slow,Reproduction,,
92842,Seedling Vigor,Low,Reproduction,,
92842,Small Grain,No,Reproduction,,
92842,Vegetative Spread Rate,None,Reproduction,,
92842,Berry/Nut/Seed Product,No,Suitability/Use,,
92842,Christmas Tree Product,No,Suitability/Use,,
92842,Fodder Product,No,Suitability/Use,,
92842,Fuelwood Product,Low,Suitability/Use,,
92842,Lumber Product,No,Suitability/Use,,
92842,Naval Store Product,No,Suitability/Use,,
92842,Nursery Stock Product,Yes,Suitability/Use,,
92842,Palatable Browse Animal,High,Suitability/Use,,
92842,Palatable Graze Animal,Medium,Suitability/Use,,
92842,Palatable Human,No,Suitability/Use,,
92842,Post Product,No,Suitability/Use,,
92842,Pulpwood Product,No,Suitability/Use,,
92842,Veneer Product,No,Suitability/Use,,
92814,Active Growth Period,Spring and Summer,Morphology/Physiology,,
92814,Bloat,None,Morphology/Physiology,,
92814,C:N Ratio,High,Morphology/Physiology,,
92814,Coppice Potential,Yes,Morphology/Physiology,,
92814,Fall Conspicuous,Yes,Morphology/Physiology,,
92814,Fire Resistant,No,Morphology/Physiology,,
92814,Flower Color,White,Morphology/Physiology,,
92814,Flower Conspicuous,No,Morphology/Physiology,,
92814,Foliage Color,Green,Morphology/Physiology,,
92814,Foliage Porosity Summer,Dense,Morphology/Physiology,,
92814,Foliage Porosity Winter,Porous,Morphology/Physiology,,
92814,Foliage Texture,Coarse,Morphology/Physiology,,
92814,Fruit/Seed Color,Brown,Morphology/Physiology,,
92814,Fruit/Seed Conspicuous,Yes,Morphology/Physiology,,
92814,Growth Form,Multiple Stem,Morphology/Physiology,,
92814,Growth Rate,Rapid,Morphology/Physiology,,
92814,"Height at 20 Years, Maximum (feet)",35,Morphology/Physiology,,
92814,"Height, Mature (feet)",60.0,Morphology/Physiology,,
92814,Known Allelopath,No,Morphology/Physiology,,
92814,Leaf Retention,No,Morphology/Physiology,,
92814,Lifespan,Short,Morphology/Physiology,,
92814,Low Growing Grass,No,Morphology/Physiology,,
92814,Nitrogen Fixation,None,Morphology/Physiology,,
92814,Resprout Ability,Yes,Morphology/Physiology,,
92814,Shape and Orientation,Erect,Morphology/Physiology,,
92814,Toxicity,None,Morphology/Physiology,,
92814,Adapted to Coarse Textured Soils,Yes,Growth Requirements,,
92814,Adapted to Fine Textured Soils,Yes,Growth Requirements,,
92814,Adapted to Medium Textured Soils,Yes,Growth Requirements,,
92814,Anaerobic Tolerance,Medium,Growth Requirements,,
92814,CaCO3 Tolerance,High,Growth Requirements,,
92814,Cold Stratification Required,Yes,Growth Requirements,,
92814,Drought Tolerance,High,Growth Requirements,,
92814,Fertility Requirement,Medium,Growth Requirements,,
92814,Fire Tolerance,Low,Growth Requirements,,
92814,"Frost Free Days, Minimum",100,Growth Requirements,,
92814,Hedge Tolerance,None,Growth Requirements,,
92814,Moisture Use,Medium,Growth Requirements,,
92814,"pH, Maximum",7.8,Growth Requirements,,
92814,"pH, Minimum",5.0,Growth Requirements,,
92814,"Planting Density per Acre, Maximum",1200,Growth Requirements,,
92814,"Planting Density per Acre, Minimum",300,Growth Requirements,,
92814,"Precipitation, Maximum",75,Growth Requirements,,
92814,"Precipitation, Minimum",15,Growth Requirements,,
92814,"Root Depth, Minimum (inches)",40,Growth Requirements,,
92814,Salinity Tolerance,Medium,Growth Requirements,,
92814,Shade Tolerance,Tolerant,Growth Requirements,,
92814,"Temperature, Minimum (°F)",-46,Growth Requirements,,
92814,Bloom Period,Early Spring,Reproduction,,
92814,Commercial Availability,Routinely Available,Reproduction,,
92814,Fruit/Seed Abundance,High,Reproduction,,
92814,Fruit/Seed Period Begin,Summer,Reproduction,,
92814,Fruit/Seed Period End,Fall,Reproduction,,
92814,Fruit/Seed Persistence,No,Reproduction,,
92814,Propagated by Bare Root,Yes,Reproduction,,
92814,Propagated by Bulb,No,Reproduction,,
92814,Propagated by Container,Yes,Reproduction,,
92814,Propagated by Corm,No,Reproduction,,
92814,Propagated by Cuttings,Yes,Reproduction,,
92814,Propagated by Seed,Yes,Reproduction,,
92814,Propagated by Sod,No,Reproduction,,
92814,Propagated by Sprigs,No,Reproduction,,
92814,Propagated by Tubers,No,Reproduction,,
92814,Seed per Pound,11360,Reproduction,,
92814,Seed Spread Rate,Slow,Reproduction,,
92814,Seedling Vigor,Low,Reproduction,,
92814,Small Grain,No,Reproduction,,
92814,Vegetative Spread Rate,Slow,Reproduction,,
92814,Berry/Nut/Seed Product,No,Suitability/Use,,
92814,Christmas Tree Product,No,Suitability/Use,,
92814,Fodder Product,No,Suitability/Use,,
92814,Fuelwood Product,Low,Suitability/Use,,
92814,Lumber Product,No,Suitability/Use,,
92814,Naval Store Product,No,Suitability/Use,,
92814,Nursery Stock Product,Yes,Suitability/Use,,
92814,Palatable Browse Animal,Low,Suitability/Use,,
92814,Palatable Graze Animal,Low,Suitability/Use,,
92814,Palatable Human,Yes,Suitability/Use,,
92814,Post Product,No,Suitability/Use,,
92814,Protein Potential,Low,Suitability/Use,,
92814,Pulpwood Product,Yes,Suitability/Use,,
92814,Veneer Product,No,Suitability/Use,,
92832,Active Growth Period,Spring and Summer,Morphology/Physiology,,
92832,Bloat,None,Morphology/Physiology,,
92832,C:N Ratio,High,Morphology/Physiology,,
92832,Coppice Potential,No,Morphology/Physiology,,
92832,Fall Conspicuous,Yes,Morphology/Physiology,,
92832,Fire Resistant,No,Morphology/Physiology,,
92832,Flower Color,Yellow,Morphology/Physiology,,
92832,Flower Conspicuous,No,Morphology/Physiology,,
92832,Foliage Color,Green,Morphology/Physiology,,
92832,Foliage Porosity Summer,Dense,Morphology/Physiology,,
92832,Foliage Porosity Winter,Porous,Morphology/Physiology,,
92832,Foliage Texture,Medium,Morphology/Physiology,,
92832,Fruit/Seed Color,Brown,Morphology/Physiology,,
92832,Fruit/Seed Conspicuous,No,Morphology/Physiology,,
92832,Growth Form,Single Stem,Morphology/Physiology,,
92832,Growth Rate,Moderate,Morphology/Physiology,,
92832,"Height at 20 Years, Maximum (feet)",28,Morphology/Physiology,,
92832,"Height, Mature (feet)",100.0,Morphology/Physiology,,
92832,Known Allelopath,No,Morphology/Physiology,,
92832,Leaf Retention,No,Morphology/Physiology,,
92832,Lifespan,Moderate,Morphology/Physiology,,
92832,Low Growing Grass,No,Morphology/Physiology,,
92832,Nitrogen Fixation,None,Morphology/Physiology,,
92832,Resprout Ability,Yes,Morphology/Physiology,,
92832,Shape and Orientation,Erect,Morphology/Physiology,,
92832,Toxicity,None,Morphology/Physiology,,
92832,Adapted to Coarse Textured Soils,Yes,Growth Requirements,,
92832,Adapted to Fine Textured Soils,Yes,Growth Requirements,,
92832,Adapted to Medium Textured Soils,Yes,Growth Requirements,,
92832,Anaerobic Tolerance,Low,Growth Requirements,,
92832,CaCO3 Tolerance,Medium,Growth Requirements,,
92832,Cold Stratification Required,Yes,Growth Requirements,,
92832,Drought Tolerance,Medium,Growth Requirements,,
92832,Fertility Requirement,Medium,Growth Requirements,,
92832,Fire Tolerance,Low,Growth Requirements,,
92832,"Frost Free Days, Minimum",130,Growth Requirements,,
92832,Hedge Tolerance,None,Growth Requirements,,
92832,Moisture Use,Medium,Growth Requirements,,
92832,"pH, Maximum",7.3,Growth Requirements,,
92832,"pH, Minimum",4.5,Growth Requirements,,
92832,"Planting Density per Acre, Maximum",700,Growth Requirements,,
92832,"Planting Density per Acre, Minimum",300,Growth Requirements,,
92832,"Precipitation, Maximum",60,Growth Requirements,,
92832,"Precipitation, Minimum",24,Growth Requirements,,
92832,"Root Depth, Minimum (inches)",30,Growth Requirements,,
92832,Salinity Tolerance,None,Growth Requirements,,
92832,Shade Tolerance,Tolerant,Growth Requirements,,
92832,"Temperature, Minimum (°F)",-47,Growth Requirements,,
92832,Bloom Period,Late Spring,Reproduction,,
92832,Commercial Availability,No Known Source,Reproduction,,
92832,Fruit/Seed Abundance,Medium,Reproduction,,
92832,Fruit/Seed Period Begin,Summer,Reproduction,,
92832,Fruit/Seed Period End,Fall,Reproduction,,
92832,Fruit/Seed Persistence,No,Reproduction,,
92832,Propagated by Bare Root,Yes,Reproduction,,
92832,Propagated by Bulb,No,Reproduction,,
92832,Propagated by Container,Yes,Reproduction,,
92832,Propagated by Corm,No,Reproduction,,
92832,Propagated by Cuttings,No,Reproduction,,
92832,Propagated by Seed,Yes,Reproduction,,
92832,Propagated by Sod,No,Reproduction,,
92832,Propagated by Sprigs,No,Reproduction,,
92832,Propagated by Tubers,No,Reproduction,,
92832,Seed per Pound,7030,Reproduction,,
92832,Seed Spread Rate,Moderate,Reproduction,,
92832,Seedling Vigor,Medium,Reproduction,,
92832,Small Grain,No,Reproduction,,
92832,Vegetative Spread Rate,None,Reproduction,,
92832,Berry/Nut/Seed Product,No,Suitability/Use,,
92832,Christmas Tree Product,No,Suitability/Use,,
92832,Fodder Product,No,Suitability/Use,,
92832,Fuelwood Product,High,Suitability/Use,,
92832,Lumber Product,Yes,Suitability/Use,,
92832,Naval Store Product,Yes,Suitability/Use,,
92832,Nursery Stock Product,Yes,Suitability/Use,,
92832,Palatable Browse Animal,Medium,Suitability/Use,,
92832,Palatable Human,Yes,Suitability/Use,,
92832,Post Product,No,Suitability/Use,,
92832,Pulpwood Product,No,Suitability/Use,,
92832,Veneer Product,Yes,Suitability/Use,,
75335,Active Growth Period,"Spring, Summer, Fall",Morphology/Physiology,,
75335,After Harvest Regrowth Rate,Slow,Morphology/Physiology,,
75335,Bloat,None,Morphology/Physiology,,
75335,C:N Ratio,High,Morphology/Physiology,,
75335,Coppice Potential,No,Morphology/Physiology,,
75335,Fall Conspicuous,Yes,Morphology/Physiology,,
75335,Fire Resistant,No,Morphology/Physiology,,
75335,Flower Color,Red,Morphology/Physiology,,
75335,Flower Conspicuous,Yes,Morphology/Physiology,,
75335,Foliage Color,Green,Morphology/Physiology,,
75335,Foliage Porosity Summer,Moderate,Morphology/Physiology,,
75335,Foliage Porosity Winter,Porous,Morphology/Physiology,,
75335,Foliage Texture,Coarse,Morphology/Physiology,,
75335,Fruit/Seed Color,Red,Morphology/Physiology,,
75335,Fruit/Seed Conspicuous,No,Morphology/Physiology,,
75335,Growth Form,Single Crown,Morphology/Physiology,,
75335,Growth Rate,Rapid,Morphology/Physiology,,
75335,"Height, Mature (feet)",3.0,Morphology/Physiology,,
75335,Known Allelopath,No,Morphology/Physiology,,
75335,Leaf Retention,No,Morphology/Physiology,,
75335,Low Growing Grass,No,Morphology/Physiology,,
75335,Nitrogen Fixation,None,Morphology/Physiology,,
75335,Resprout Ability,No,Morphology/Physiology,,
75335,Shape and Orientation,Erect,Morphology/Physiology,,
75335,Toxicity,None,Morphology/Physiology,,
75335,Adapted to Coarse Textured Soils,No,Growth Requirements,,
75335,Adapted to Fine Textured Soils,No,Growth Requirements,,
75335,Adapted to Medium Textured Soils,Yes,Growth Requirements,,
75335,Anaerobic Tolerance,None,Growth Requirements,,
75335,CaCO3 Tolerance,Low,Growth Requirements,,
75335,Cold Stratification Required,No,Growth Requirements,,
75335,Drought Tolerance,Medium,Growth Requirements,,
75335,Fertility Requirement,Medium,Growth Requirements,,
75335,Fire Tolerance,None,Growth Requirements,,
75335,"Frost Free Days, Minimum",80,Growth Requirements,,
75335,Hedge Tolerance,None,Growth Requirements,,
75335,Moisture Use,Medium,Growth Requirements,,
75335,"pH, Maximum",7.0,Growth Requirements,,
75335,"pH, Minimum",5.9,Growth Requirements,,
75335,"Planting Density per Acre, Maximum",4800,Growth Requirements,,
75335,"Planting Density per Acre, Minimum",1100,Growth Requirements,,
75335,"Precipitation, Maximum",60,Growth Requirements,,
75335,"Precipitation, Minimum",13,Growth Requirements,,
75335,"Root Depth, Minimum (inches)",6,Growth Requirements,,
75335,Salinity Tolerance,None,Growth Requirements,,
75335,Shade Tolerance,Intermediate,Growth Requirements,,
75335,"Temperature, Minimum (°F)",33,Growth Requirements,,
75335,Bloom Period,Early Summer,Reproduction,,
75335,Commercial Availability,No Known Source,Reproduction,,
75335,Fruit/Seed Abundance,High,Reproduction,,
75335,Fruit/Seed Period Begin,Summer,Reproduction,,
75335,Fruit/Seed Period End,Fall,Reproduction,,
75335,Fruit/Seed Persistence,No,Reproduction,,
75335,Propagated by Bare Root,Yes,Reproduction,,
75335,Propagated by Bulb,No,Reproduction,,
75335,Propagated by Container,Yes,Reproduction,,
75335,Propagated by Corm,No,Reproduction,,
75335,Propagated by Cuttings,Yes,Reproduction,,
75335,Propagated by Seed,Yes,Reproduction,,
75335,Propagated by Sod,No,Reproduction,,
75335,Propagated by Sprigs,No,Reproduction,,
75335,Propagated by Tubers,No,Reproduction,,
75335,Seed per Pound,678000,Reproduction,,
75335,Seed Spread Rate,Slow,Reproduction,,
75335,Seedling Vigor,Medium,Reproduction,,
75335,Small Grain,No,Reproduction,,
75335,Vegetative Spread Rate,None,Reproduction,,
75335,Berry/Nut/Seed Product,No,Suitability/Use,,
75335,Christmas Tree Product,No,Suitability/Use,,
75335,Fodder Product,No,Suitability/Use,,
75335,Lumber Product,No,Suitability/Use,,
75335,Naval Store Product,No,Suitability/Use,,
75335,Nursery Stock Product,Yes,Suitability/Use,,
75335,Palatable Browse Animal,Low,Suitability/Use,,
75335,Palatable Graze Animal,Low,Suitability/Use,,
75335,Palatable Human,No,Suitability/Use,,
75335,Post Product,No,Suitability/Use,,
75335,Protein Potential,Low,Suitability/Use,,
75335,Pulpwood Product,No,Suitability/Use,,
75335,Veneer Product,No,Suitability/Use,,
92875,Active Growth Period,Spring and Summer,Morphology/Physiology,,
92875,Bloat,None,Morphology/Physiology,,
92875,C:N Ratio,High,Morphology/Physiology,,
92875,Coppice Potential,Yes,Morphology/Physiology,,
92875,Fall Conspicuous,Yes,Morphology/Physiology,,
92875,Fire Resistant,No,Morphology/Physiology,,
92875,Flower Color,Yellow,Morphology/Physiology,,
92875,Flower Conspicuous,No,Morphology/Physiology,,
92875,Foliage Color,Green,Morphology/Physiology,,
92875,Foliage Porosity Summer,Dense,Morphology/Physiology,,
92875,Foliage Porosity Winter,Porous,Morphology/Physiology,,
92875,Foliage Texture,Coarse,Morphology/Physiology,,
92875,Fruit/Seed Color,Brown,Morphology/Physiology,,
92875,Fruit/Seed Conspicuous,No,Morphology/Physiology,,
92875,Growth Form,Multiple Stem,Morphology/Physiology,,
92875,Growth Rate,Moderate,Morphology/Physiology,,
92875,"Height at 20 Years, Maximum (feet)",25,Morphology/Physiology,,
92875,"Height, Mature (feet)",25.0,Morphology/Physiology,,
92875,Known Allelopath,No,Morphology/Physiology,,
92875,Leaf Retention,No,Morphology/Physiology,,
92875,Lifespan,Moderate,Morphology/Physiology,,
92875,Low Growing Grass,No,Morphology/Physiology,,
92875,Nitrogen Fixation,None,Morphology/Physiology,,
92875,Resprout Ability,Yes,Morphology/Physiology,,
92875,Shape and Orientation,Erect,Morphology/Physiology,,
92875,Toxicity,None,Morphology/Physiology,,
92875,Adapted to Coarse Textured Soils,No,Growth Requirements,,
92875,Adapted to Fine Textured Soils,No,Growth Requirements,,
92875,Adapted to Medium Textured Soils,Yes,Growth Requirements,,
92875,Anaerobic Tolerance,Low,Growth Requirements,,
92875,CaCO3 Tolerance,Medium,Growth Requirements,,
92875,Cold Stratification Required,Yes,Growth Requirements,,
92875,Drought Tolerance,Low,Growth Requirements,,
92875,Fertility Requirement,Medium,Growth Requirements,,
92875,Fire Tolerance,High,Growth Requirements,,
92875,"Frost Free Days, Minimum",100,Growth Requirements,,
92875,Hedge Tolerance,None,Growth Requirements,,
92875,Moisture Use,Medium,Growth Requirements,,
92875,"pH, Maximum",7.0,Growth Requirements,,
92875,"pH, Minimum",4.8,Growth Requirements,,
92875,"Planting Density per Acre, Maximum",1100,Growth Requirements,,
92875,"Planting Density per Acre, Minimum",700,Growth Requirements,,
92875,"Precipitation, Maximum",70,Growth Requirements,,
92875,"Precipitation, Minimum",30,Growth Requirements,,
92875,"Root Depth, Minimum (inches)",32,Growth Requirements,,
92875,Salinity Tolerance,None,Growth Requirements,,
92875,Shade Tolerance,Tolerant,Growth Requirements,,
92875,"Temperature, Minimum (°F)",-47,Growth Requirements,,
92875,Bloom Period,Spring,Reproduction,,
92875,Commercial Availability,No Known Source,Reproduction,,
92875,Fruit/Seed Abundance,High,Reproduction,,
92875,Fruit/Seed Period Begin,Summer,Reproduction,,
92875,Fruit/Seed Period End,Fall,Reproduction,,
92875,Fruit/Seed Persistence,Yes,Reproduction,,
92875,Propagated by Bare Root,Yes,Reproduction,,
92875,Propagated by Bulb,No,Reproduction,,
92875,Propagated by Container,Yes,Reproduction,,
92875,Propagated by Corm,No,Reproduction,,
92875,Propagated by Cuttings,No,Reproduction,,
92875,Propagated by Seed,Yes,Reproduction,,
92875,Propagated by Sod,No,Reproduction,,
92875,Propagated by Sprigs,No,Reproduction,,
92875,Propagated by Tubers,No,Reproduction,,
92875,Seed per Pound,22720,Reproduction,,
92875,Seed Spread Rate,Moderate,Reproduction,,
92875,Seedling Vigor,Medium,Reproduction,,
92875,Small Grain,No,Reproduction,,
92875,Vegetative Spread Rate,None,Reproduction,,
92875,Berry/Nut/Seed Product,No,Suitability/Use,,
92875,Christmas Tree Product,No,Suitability/Use,,
92875,Fodder Product,No,Suitability/Use,,
92875,Fuelwood Product,Low,Suitability/Use,,
92875,Lumber Product,No,Suitability/Use,,
92875,Naval Store Product,No,Suitability/Use,,
92875,Nursery Stock Product,Yes,Suitability/Use,,
92875,Palatable Browse Animal,Medium,Suitability/Use,,
92875,Palatable Graze Animal,Low,Suitability/Use,,
92875,Palatable Human,No,Suitability/Use,,
92875,Post Product,No,Suitability/Use,,
92875,Protein Potential,Low,Suitability/Use,,
92875,Pulpwood Product,No,Suitability/Use,,
92875,Veneer Product,No,Suitability/Use,,
92865,Active Growth Period,Spring and Summer,Morphology/Physiology,,
92865,Bloat,None,Morphology/Physiology,,
92865,C:N Ratio,High,Morphology/Physiology,,
92865,Coppice Potential,No,Morphology/Physiology,,
92865,Fall Conspicuous,Yes,Morphology/Physiology,,
92865,Fire Resistant,No,Morphology/Physiology,,
92865,Flower Color,Green,Morphology/Physiology,,
92865,Flower Conspicuous,No,Morphology/Physiology,,
92865,Foliage Color,Green,Morphology/Physiology,,
92865,Foliage Porosity Summer,Dense,Morphology/Physiology,,
92865,Foliage Porosity Winter,Porous,Morphology/Physiology,,
92865,Foliage Texture,Coarse,Morphology/Physiology,,
92865,Fruit/Seed Color,Brown,Morphology/Physiology,,
92865,Fruit/Seed Conspicuous,No,Morphology/Physiology,,
92865,Growth Form,Single Stem,Morphology/Physiology,,
92865,Growth Rate,Slow,Morphology/Physiology,,
92865,"Height at 20 Years, Maximum (feet)",20,Morphology/Physiology,,
92865,"Height, Mature (feet)",100.0,Morphology/Physiology,,
92865,Known Allelopath,Yes,Morphology/Physiology,,
92865,Leaf Retention,No,Morphology/Physiology,,
92865,Lifespan,Long,Morphology/Physiology,,
92865,Low Growing Grass,No,Morphology/Physiology,,
92865,Nitrogen Fixation,None,Morphology/Physiology,,
92865,Resprout Ability,Yes,Morphology/Physiology,,
92865,Shape and Orientation,Erect,Morphology/Physiology,,
92865,Toxicity,None,Morphology/Physiology,,
92865,Adapted to Coarse Textured Soils,Yes,Growth Requirements,,
92865,Adapted to Fine Textured Soils,No,Growth Requirements,,
92865,Adapted to Medium Textured Soils,Yes,Growth Requirements,,
92865,Anaerobic Tolerance,None,Growth Requirements,,
92865,CaCO3 Tolerance,Medium,Growth Requirements,,
92865,Cold Stratification Required,Yes,Growth Requirements,,
92865,Drought Tolerance,Medium,Growth Requirements,,
92865,Fertility Requirement,Medium,Growth Requirements,,
92865,Fire Tolerance,Low,Growth Requirements,,
92865,"Frost Free Days, Minimum",80,Growth Requirements,,
92865,Hedge Tolerance,None,Growth Requirements,,
92865,Moisture Use,Medium,Growth Requirements,,
92865,"pH, Maximum",7.9,Growth Requirements,,
