PlantID,PlantCharacteristicName,PlantCharacteristicValue,PlantCharacteristicCategory,CultivarName,SynonymName
93135,Fruit/Seed Color,Brown,Morphology/Physiology,,
93135,Fruit/Seed Conspicuous,Yes,Morphology/Physiology,,
93135,Growth Form,Single Stem,Morphology/Physiology,,
93135,Growth Rate,Rapid,Morphology/Physiology,,
93135,"Height at 20 Years, Maximum (feet)",25,Morphology/Physiology,,
93135,"Height, Mature (feet)",68.0,Morphology/Physiology,,
93135,Known Allelopath,No,Morphology/Physiology,,
93135,Leaf Retention,No,Morphology/Physiology,,
93135,Lifespan,Short,Morphology/Physiology,,
93135,Low Growing Grass,No,Morphology/Physiology,,
93135,Nitrogen Fixation,None,Morphology/Physiology,,
93135,Resprout Ability,Yes,Morphology/Physiology,,
93135,Shape and Orientation,Erect,Morphology/Physiology,,
93135,Toxicity,Severe,Morphology/Physiology,,
93135,Adapted to Coarse Textured Soils,No,Growth Requirements,,
93135,Adapted to Fine Textured Soils,Yes,Growth Requirements,,
93135,Adapted to Medium Textured Soils,Yes,Growth Requirements,,
93135,Anaerobic Tolerance,None,Growth Requirements,,
93135,CaCO3 Tolerance,Medium,Growth Requirements,,
93135,Cold Stratification Required,Yes,Growth Requirements,,
93135,Drought Tolerance,Medium,Growth Requirements,,
93135,Fertility Requirement,Medium,Growth Requirements,,
93135,Fire Tolerance,Low,Growth Requirements,,
93135,"Frost Free Days, Minimum",145,Growth Requirements,,
93135,Hedge Tolerance,None,Growth Requirements,,
93135,Moisture Use,Medium,Growth Requirements,,
93135,"pH, Maximum",7.1,Growth Requirements,,
93135,"pH, Minimum",5.0,Growth Requirements,,
93135,"Planting Density per Acre, Maximum",700,Growth Requirements,,
93135,"Planting Density per Acre, Minimum",300,Growth Requirements,,
93135,"Precipitation, Maximum",60,Growth Requirements,,
93135,"Precipitation, Minimum",30,Growth Requirements,,
93135,"Root Depth, Minimum (inches)",36,Growth Requirements,,
93135,Salinity Tolerance,None,Growth Requirements,,
93135,Shade Tolerance,Tolerant,Growth Requirements,,
93135,"Temperature, Minimum (°F)",-33,Growth Requirements,,
93135,Bloom Period,Mid Spring,Reproduction,,
93135,Commercial Availability,Routinely Available,Reproduction,,
93135,Fruit/Seed Abundance,Medium,Reproduction,,
93135,Fruit/Seed Period Begin,Spring,Reproduction,,
93135,Fruit/Seed Period End,Fall,Reproduction,,
93135,Fruit/Seed Persistence,No,Reproduction,,
93135,Propagated by Bare Root,Yes,Reproduction,,
93135,Propagated by Bulb,No,Reproduction,,
93135,Propagated by Container,Yes,Reproduction,,
93135,Propagated by Corm,No,Reproduction,,
93135,Propagated by Cuttings,No,Reproduction,,
93135,Propagated by Seed,Yes,Reproduction,,
93135,Propagated by Sod,No,Reproduction,,
93135,Propagated by Sprigs,No,Reproduction,,
93135,Propagated by Tubers,No,Reproduction,,
93135,Seed per Pound,58,Reproduction,,
93135,Seed Spread Rate,Slow,Reproduction,,
93135,Seedling Vigor,High,Reproduction,,
93135,Small Grain,No,Reproduction,,
93135,Vegetative Spread Rate,None,Reproduction,,
93135,Berry/Nut/Seed Product,No,Suitability/Use,,
93135,Christmas Tree Product,No,Suitability/Use,,
93135,Fodder Product,No,Suitability/Use,,
93135,Fuelwood Product,Medium,Suitability/Use,,
93135,Lumber Product,Yes,Suitability/Use,,
93135,Naval Store Product,No,Suitability/Use,,
93135,Nursery Stock Product,Yes,Suitability/Use,,
93135,Palatable Browse Animal,Low,Suitability/Use,,
93135,Palatable Graze Animal,Low,Suitability/Use,,
93135,Palatable Human,No,Suitability/Use,,
93135,Post Product,No,Suitability/Use,,
93135,Pulpwood Product,Yes,Suitability/Use,,
93135,Veneer Product,No,Suitability/Use,,
14357,Active Growth Period,Spring and Summer,Morphology/Physiology,,
14357,After Harvest Regrowth Rate,Slow,Morphology/Physiology,,
14357,Bloat,None,Morphology/Physiology,,
14357,C:N Ratio,Medium,Morphology/Physiology,,
14357,Coppice Potential,No,Morphology/Physiology,,
14357,Fall Conspicuous,Yes,Morphology/Physiology,,
14357,Fire Resistant,No,Morphology/Physiology,,
14357,Flower Color,Brown,Morphology/Physiology,,
14357,Flower Conspicuous,No,Morphology/Physiology,,
14357,Foliage Color,Dark Green,Morphology/Physiology,,
14357,Foliage Porosity Summer,Moderate,Morphology/Physiology,,
14357,Foliage Porosity Winter,Porous,Morphology/Physiology,,
14357,Foliage Texture,Fine,Morphology/Physiology,,
14357,Fruit/Seed Color,Brown,Morphology/Physiology,,
14357,Fruit/Seed Conspicuous,No,Morphology/Physiology,,
14357,Growth Form,Rhizomatous,Morphology/Physiology,,
14357,Growth Rate,Moderate,Morphology/Physiology,,
14357,"Height, Mature (feet)",1.3,Morphology/Physiology,,
14357,Known Allelopath,No,Morphology/Physiology,,
14357,Leaf Retention,No,Morphology/Physiology,,
14357,Lifespan,Moderate,Morphology/Physiology,,
14357,Low Growing Grass,No,Morphology/Physiology,,
14357,Nitrogen Fixation,None,Morphology/Physiology,,
14357,Resprout Ability,No,Morphology/Physiology,,
14357,Shape and Orientation,Semi-Erect,Morphology/Physiology,,
14357,Toxicity,None,Morphology/Physiology,,
14357,Adapted to Coarse Textured Soils,Yes,Growth Requirements,,
14357,Adapted to Fine Textured Soils,No,Growth Requirements,,
14357,Adapted to Medium Textured Soils,Yes,Growth Requirements,,
14357,Anaerobic Tolerance,Low,Growth Requirements,,
14357,CaCO3 Tolerance,Low,Growth Requirements,,
14357,Cold Stratification Required,No,Growth Requirements,,
14357,Drought Tolerance,Low,Growth Requirements,,
14357,Fertility Requirement,High,Growth Requirements,,
14357,Fire Tolerance,Medium,Growth Requirements,,
14357,"Frost Free Days, Minimum",80,Growth Requirements,,
14357,Hedge Tolerance,None,Growth Requirements,,
14357,Moisture Use,Medium,Growth Requirements,,
14357,"pH, Maximum",6.6,Growth Requirements,,
14357,"pH, Minimum",4.6,Growth Requirements,,
14357,"Planting Density per Acre, Maximum",4800,Growth Requirements,,
14357,"Planting Density per Acre, Minimum",1200,Growth Requirements,,
14357,"Precipitation, Maximum",60,Growth Requirements,,
14357,"Precipitation, Minimum",36,Growth Requirements,,
14357,"Root Depth, Minimum (inches)",10,Growth Requirements,,
14357,Salinity Tolerance,None,Growth Requirements,,
14357,Shade Tolerance,Tolerant,Growth Requirements,,
14357,"Temperature, Minimum (°F)",-38,Growth Requirements,,
14357,Bloom Period,Summer,Reproduction,,
14357,Commercial Availability,Contracting Only,Reproduction,,
14357,Fruit/Seed Abundance,High,Reproduction,,
14357,Fruit/Seed Period Begin,Summer,Reproduction,,
14357,Fruit/Seed Period End,Fall,Reproduction,,
14357,Fruit/Seed Persistence,No,Reproduction,,
14357,Propagated by Bare Root,No,Reproduction,,
14357,Propagated by Bulb,No,Reproduction,,
14357,Propagated by Container,Yes,Reproduction,,
14357,Propagated by Corm,No,Reproduction,,
14357,Propagated by Cuttings,No,Reproduction,,
14357,Propagated by Seed,No,Reproduction,,
14357,Propagated by Sod,No,Reproduction,,
14357,Propagated by Sprigs,Yes,Reproduction,,
14357,Propagated by Tubers,No,Reproduction,,
14357,Seed Spread Rate,Slow,Reproduction,,
14357,Seedling Vigor,Low,Reproduction,,
14357,Small Grain,No,Reproduction,,
14357,Vegetative Spread Rate,Moderate,Reproduction,,
14357,Berry/Nut/Seed Product,No,Suitability/Use,,
14357,Christmas Tree Product,No,Suitability/Use,,
14357,Fodder Product,No,Suitability/Use,,
14357,Lumber Product,No,Suitability/Use,,
14357,Naval Store Product,No,Suitability/Use,,
14357,Nursery Stock Product,Yes,Suitability/Use,,
14357,Palatable Human,No,Suitability/Use,,
14357,Post Product,No,Suitability/Use,,
14357,Pulpwood Product,No,Suitability/Use,,
14357,Veneer Product,No,Suitability/Use,,
