Symbol,Scientific Name,Common Name,Genus,Species
RUPL,Rubus plicatifolius Blanch.,plaitleaf dewberry,Rubus,plicatifolius
RUPL2,Rubus plus L.H. Bailey,hairyleaf dewberry,Rubus,plus
RUPU,Rubus pubescens Raf.,dwarf red blackberry,Rubus,pubescens
RURE,Rubus recurvans Blanch.,recurved blackberry,Rubus,recurvans
RURE3,Rubus regionalis (L.H. Bailey) L.H. Bailey,Wisconsin dewberry,Rubus,regionalis
RURO2,Rubus roribaccus (L.H. Bailey) Rydb.,Lucretia dewberry,Rubus,roribaccus
RURO3,Rubus rosa L.H. Bailey,rose blackberry,Rubus,rosa
RUSC3,Rubus schoolcraftianus L.H. Bailey,Schoolcraft's dewberry,Rubus,schoolcraftianus
RUSE3,Rubus semisetosus Blanch.,swamp blackberry,Rubus,semisetosus
RUSE,Rubus setosus Bigelow,setose blackberry,Rubus,setosus
RUSI2,Rubus signatus L.H. Bailey,sphagnum dewberry,Rubus,signatus
RUSP4,Rubus spectatus L.H. Bailey,sphagnum blackberry,Rubus,spectatus
RUST5,Rubus steelei L.H. Bailey,Steele's dewberry,Rubus,steelei
RUST7,Rubus stipulatus L.H. Bailey,Big Horseshoe Lake dewberry,Rubus,stipulatus
RUTA2,Rubus tardatus Blanch.,wet thicket dewberry,Rubus,tardatus
RUUV,Rubus uvidus L.H. Bailey,Kalamazoo dewberry,Rubus,uvidus
RUVA,Rubus vagus L.H. Bailey,rambling dewberry,Rubus,vagus
RUVA3,Rubus variispinus L.H. Bailey,Vicksburg blackberry,Rubus,variispinus
RUVE5,Rubus vermontanus Blanch.,Vermont blackberry,Rubus,vermontanus
RUWH2,Rubus wheeleri (L.H. Bailey) L.H. Bailey,Wheeler's blackberry,Rubus,wheeleri
RUWI,Rubus wisconsinensis L.H. Bailey,Wisconsin blackberry,Rubus,wisconsinensis
RUFU2,Rudbeckia fulgida Aiton,orange coneflower,Rudbeckia,fulgida
RUHI2,Rudbeckia hirta L.,blackeyed Susan,Rudbeckia,hirta
RULA3,Rudbeckia laciniata L.,cutleaf coneflower,Rudbeckia,laciniata
RUSU,Rudbeckia subtomentosa Pursh,sweet coneflower,Rudbeckia,subtomentosa
RUTR2,Rudbeckia triloba L.,browneyed Susan,Rudbeckia,triloba
RUHU,Ruellia humilis Nutt.,fringeleaf wild petunia,Ruellia,humilis
RUST2,Ruellia strepens L.,limestone wild petunia,Ruellia,strepens
RUAC2,Rumex acetosa L.,garden sorrel,Rumex,acetosa
RUAL4,Rumex altissimus Alph. Wood,pale dock,Rumex,altissimus
RUAQ,Rumex aquaticus L.,western dock,Rumex,aquaticus
RUMA4,Rumex maritimus L.,golden dock,Rumex,maritimus
RUOR2,Rumex orbiculatus A. Gray,greater water dock,Rumex,orbiculatus
RUSA,Rumex salicifolius Weinm.,willow dock,Rumex,salicifolius
RUSAM,Rumex salicifolius Weinm. var. mexicanus (Meisn.) C.L. Hitchc.,Mexican dock,Rumex,salicifolius
RUVE3,Rumex verticillatus L.,swamp dock,Rumex,verticillatus
RUCI2,Ruppia cirrhosa (Petagna) Grande,spiral ditchgrass,Ruppia,cirrhosa
SAAN,Sabatia angularis (L.) Pursh,rosepink,Sabatia,angularis
SANO,Sagina nodosa (L.) Fenzl,knotted pearlwort,Sagina,nodosa
SABR8,Sagittaria brevirostra Mack. & Bush,shortbeak arrowhead,Sagittaria,brevirostra
SACA21,Sagittaria calycina Engelm.,hooded arrowhead,Sagittaria,calycina
SACR4,Sagittaria cristata Engelm.,crested arrowhead,Sagittaria,cristata
SACU,Sagittaria cuneata Sheldon,arumleaf arrowhead,Sagittaria,cuneata
SAGR,Sagittaria graminea Michx.,grassy arrowhead,Sagittaria,graminea
SALA2,Sagittaria latifolia Willd.,broadleaf arrowhead,Sagittaria,latifolia
SARI,Sagittaria rigida Pursh,sessilefruit arrowhead,Sagittaria,rigida
SARU,Salicornia rubra A. Nelson,red swampfire,Salicornia,rubra
SAGL3,Salix ×glatfelteri C.K. Schneid. [amygdaloides × nigra],hybrid willow,Salix,×glatfelteri
SAAM2,Salix amygdaloides Andersson,peachleaf willow,Salix,amygdaloides
SABE2,Salix bebbiana Sarg.,Bebb willow,Salix,bebbiana
SACA4,Salix candida Flueggé ex Willd.,sageleaf willow,Salix,candida
SACO3,Salix cordata Michx.,heartleaf willow,Salix,cordata
SADI,Salix discolor Muhl.,pussy willow,Salix,discolor
SAER,Salix eriocephala Michx.,Missouri River willow,Salix,eriocephala
SAHU2,Salix humilis Marshall,prairie willow,Salix,humilis
SAIN3,Salix interior Rowlee,sandbar willow,Salix,interior
SALU,Salix lucida Muhl.,shining willow,Salix,lucida
SAMY2,Salix myricoides Muhl.,bayberry willow,Salix,myricoides
SANI,Salix nigra Marshall,black willow,Salix,nigra
SAPE2,Salix pedicellaris Pursh,bog willow,Salix,pedicellaris
SAPE3,Salix pellita Andersson,satiny willow,Salix,pellita
SAPE5,Salix petiolaris Sm.,meadow willow,Salix,petiolaris
SAPL2,Salix planifolia Pursh,diamondleaf willow,Salix,planifolia
SAPY,Salix pyrifolia Andersson,balsam willow,Salix,pyrifolia
SASE,Salix sericea Marshall,silky willow,Salix,sericea
SASE2,Salix serissima (L.H. Bailey) Fernald,autumn willow,Salix,serissima
SAAZ,Salvia azurea Michx. ex Lam.,azure blue sage,Salvia,azurea
SAAZG,Salvia azurea Michx. ex Lam. var. grandiflora Benth.,pitcher sage,Salvia,azurea
SARE3,Salvia reflexa Hornem.,lanceleaf sage,Salvia,reflexa
SANI4,Sambucus nigra L.,black elderberry,Sambucus,nigra
SANIC4,Sambucus nigra L. ssp. canadensis (L.) R. Bolli,American black elderberry,Sambucus,nigra
SARA2,Sambucus racemosa L.,red elderberry,Sambucus,racemosa
SAVA3,Samolus valerandi L.,seaside brookweed,Samolus,valerandi
SACA13,Sanguinaria canadensis L.,bloodroot,Sanguinaria,canadensis
SACA14,Sanguisorba canadensis L.,Canadian burnet,Sanguisorba,canadensis
SAOF3,Sanguisorba officinalis L.,great burnet,Sanguisorba,officinalis
SACA15,Sanicula canadensis L.,Canadian blacksnakeroot,Sanicula,canadensis
SAMA2,Sanicula marilandica L.,Maryland sanicle,Sanicula,marilandica
SAOD,Sanicula odorata (Raf.) K.M. Pryer & L.R. Phillippe,clustered blacksnakeroot,Sanicula,odorata
SATR4,Sanicula trifoliata E.P. Bicknell,largefruit blacksnakeroot,Sanicula,trifoliata
SAPU4,Sarracenia purpurea L.,purple pitcherplant,Sarracenia,purpurea
SAPUP6,Sarracenia purpurea L. ssp. purpurea var. purpurea,northern purple pitcherplant,Sarracenia,purpurea
SAAL5,Sassafras albidum (Nutt.) Nees,sassafras,Sassafras,albidum
SACE,Saururus cernuus L.,lizard's tail,Saururus,cernuus
SAAI,Saxifraga aizoides L.,yellow mountain saxifrage,Saxifraga,aizoides
SAPA14,Saxifraga paniculata Mill.,White Mountain saxifrage,Saxifraga,paniculata
SAPE8,Saxifraga pensylvanica L.,eastern swamp saxifrage,Saxifraga,pensylvanica
SATR5,Saxifraga tricuspidata Rottb.,three toothed saxifrage,Saxifraga,tricuspidata
SAVI5,Saxifraga virginiensis Michx.,early saxifrage,Saxifraga,virginiensis
SCPA2,Scheuchzeria palustris L.,rannoch-rush,Scheuchzeria,palustris
SCPU,Schizachne purpurascens (Torr.) Swallen,false melic,Schizachne,purpurascens
SCSC,Schizachyrium scoparium (Michx.) Nash,little bluestem,Schizachyrium,scoparium
SCHA10,Schoenoplectiella hallii (A.Gray) Lye,Hall's bulrush,Schoenoplectiella,hallii
SCPU14,Schoenoplectiella purshiana (Fernald) Lye,weakstalk bulrush,Schoenoplectiella,purshiana
SCSM3,Schoenoplectiella smithii (A. Gray) Hayas.,Smith's bulrush,Schoenoplectiella,smithii
SCCO20,Schoenoplectus ×contortus (Eames) S.G. Sm. [americanus × pungens],bulrush,Schoenoplectus,×contortus
SCAC3,Schoenoplectus acutus (Muhl. ex Bigelow) Á. Löve & D. Löve,hardstem bulrush,Schoenoplectus,acutus
SCAM6,Schoenoplectus americanus (Pers.) Volkart ex Schinz & R. Keller,chairmaker's bulrush,Schoenoplectus,americanus
SCHE5,Schoenoplectus heterochaetus (Chase) Soják,slender bulrush,Schoenoplectus,heterochaetus
SCPU10,Schoenoplectus pungens (Vahl) Palla,common threesquare,Schoenoplectus,pungens
SCSU10,Schoenoplectus subterminalis (Torr.) Soják,swaying bulrush,Schoenoplectus,subterminalis
SCTA2,Schoenoplectus tabernaemontani (C.C. Gmel.) Palla,softstem bulrush,Schoenoplectus,tabernaemontani
SCTO3,Schoenoplectus torreyi (Olney) Palla,Torrey's bulrush,Schoenoplectus,torreyi
SCAT4,Scirpus atrocinctus Fernald,blackgirdle bulrush,Scirpus,atrocinctus
SCAT2,Scirpus atrovirens Willd.,green bulrush,Scirpus,atrovirens
SCCY,Scirpus cyperinus (L.) Kunth,woolgrass,Scirpus,cyperinus
SCEX,Scirpus expansus Fernald,woodland bulrush,Scirpus,expansus
SCHA3,Scirpus hattorianus Makino,mosquito bulrush,Scirpus,hattorianus
SCMI2,Scirpus microcarpus J. Presl & C. Presl,panicled bulrush,Scirpus,microcarpus
SCPE3,Scirpus pedicellatus Fernald,stalked bulrush,Scirpus,pedicellatus
SCPE4,Scirpus pendulus Muhl.,rufous bulrush,Scirpus,pendulus
SCPA5,Scleria pauciflora Muhl. ex Willd.,fewflower nutrush,Scleria,pauciflora
SCPAC,Scleria pauciflora Muhl. ex Willd. var. caroliniana (Willd.) Alph. Wood,Carolina nutrush,Scleria,pauciflora
SCRE,Scleria reticularis Michx.,netted nutrush,Scleria,reticularis
SCTR,Scleria triglomerata Michx.,whip nutrush,Scleria,triglomerata
SCVE2,Scleria verticillata Muhl. ex Willd.,low nutrush,Scleria,verticillata
SCLA,Scrophularia lanceolata Pursh,lanceleaf figwort,Scrophularia,lanceolata
SCMA2,Scrophularia marilandica L.,carpenter's square,Scrophularia,marilandica
SCCH2,Scutellaria ×churchilliana Fernald (pro sp.) [galericulata × lateriflora],skullcap,Scutellaria,×churchilliana
SCEL,Scutellaria elliptica Muhl. ex Spreng.,hairy skullcap,Scutellaria,elliptica
SCGA,Scutellaria galericulata L.,marsh skullcap,Scutellaria,galericulata
SCIN,Scutellaria incana Biehler,hoary skullcap,Scutellaria,incana
SCLA2,Scutellaria lateriflora L.,blue skullcap,Scutellaria,lateriflora
SCNE2,Scutellaria nervosa Pursh,veiny skullcap,Scutellaria,nervosa
SCOV,Scutellaria ovata Hill,heartleaf skullcap,Scutellaria,ovata
SCPA7,Scutellaria parvula Michx.,small skullcap,Scutellaria,parvula
SCPAM,Scutellaria parvula Michx. var. missouriensis (Torr.) Goodman & C.A. Lawson,Leonard's skullcap,Scutellaria,parvula
SETE3,Sedum ternatum Michx.,woodland stonecrop,Sedum,ternatum
SEEC,Selaginella eclipes W.R. Buck,hidden spikemoss,Selaginella,eclipes
SERU,Selaginella rupestris (L.) Spring,northern selaginella,Selaginella,rupestris
SESE,Selaginella selaginoides (L.) P. Beauv. ex Mart. & Schrank,club spikemoss,Selaginella,selaginoides
SECO2,Senecio congestus (R. Br.) DC.,marsh fleabane,Senecio,congestus
SEHE3,Senna hebecarpa (Fernald) Irwin & Barneby,American senna,Senna,hebecarpa
SEAS3,"Sericocarpus asteroides (L.) Britton, Sterns & Poggenb.",toothed whitetop aster,Sericocarpus,asteroides
SHAR,Shepherdia argentea (Pursh) Nutt.,silver buffaloberry,Shepherdia,argentea
SHCA,Shepherdia canadensis (L.) Nutt.,russet buffaloberry,Shepherdia,canadensis
SITR3,Sibbaldiopsis tridentata (Aiton) Rydb.,shrubby fivefingers,Sibbaldiopsis,tridentata
SIAN,Sicyos angulatus L.,oneseed bur cucumber,Sicyos,angulatus
SIHE3,Sida hermaphrodita (L.) Rusby,Virginia fanpetals,Sida,hermaphrodita
SISP,Sida spinosa L.,prickly fanpetals,Sida,spinosa
SIAN2,Silene antirrhina L.,sleepy silene,Silene,antirrhina
SIST,Silene stellata (L.) W.T. Aiton,widowsfrill,Silene,stellata
SIVI4,Silene virginica L.,fire pink,Silene,virginica
SIIN2,Silphium integrifolium Michx.,wholeleaf rosinweed,Silphium,integrifolium
SILA3,Silphium laciniatum L.,compassplant,Silphium,laciniatum
SIPE2,Silphium perfoliatum L.,cup plant,Silphium,perfoliatum
SITE,Silphium terebinthinaceum Jacq.,prairie rosinweed,Silphium,terebinthinaceum
SIAL3,Sisyrinchium albidum Raf.,white blue-eyed grass,Sisyrinchium,albidum
SIAN3,Sisyrinchium angustifolium Mill.,narrowleaf blue-eyed grass,Sisyrinchium,angustifolium
SIAT,Sisyrinchium atlanticum E.P. Bicknell,eastern blue-eyed grass,Sisyrinchium,atlanticum
SICA9,Sisyrinchium campestre E.P. Bicknell,prairie blue-eyed grass,Sisyrinchium,campestre
SIFA2,Sisyrinchium farwellii E.P. Bicknell,Farwell's blue-eyed grass,Sisyrinchium,farwellii
SIMO2,Sisyrinchium montanum Greene,strict blue-eyed grass,Sisyrinchium,montanum
SIMU3,Sisyrinchium mucronatum Michx.,needletip blue-eyed grass,Sisyrinchium,mucronatum
SISU2,Sium suave Walter,hemlock waterparsnip,Sium,suave
SMUV,Smallanthus uvedalius (L.) Mack. ex Small,hairy leafcup,Smallanthus,uvedalius
SMEC,Smilax ecirrhata (Engelm. ex Kunth) S. Watson,upright carrionflower,Smilax,ecirrhata
SMHE,Smilax herbacea L.,smooth carrionflower,Smilax,herbacea
SMIL,Smilax illinoensis Mangaly,Illinois greenbrier,Smilax,illinoensis
SMLA3,Smilax lasioneura Hook.,Blue Ridge carrionflower,Smilax,lasioneura
SMPU2,Smilax pulverulenta Michx.,downy carrionflower,Smilax,pulverulenta
SMRO,Smilax rotundifolia L.,roundleaf greenbrier,Smilax,rotundifolia
SMTA2,Smilax tamnoides L.,bristly greenbrier,Smilax,tamnoides
SOCA3,Solanum carolinense L.,Carolina horsenettle,Solanum,carolinense
SOPT7,Solanum ptycanthum Dunal,West Indian nightshade,Solanum,ptycanthum
SORO,Solanum rostratum Dunal,buffalobur nightshade,Solanum,rostratum
SOTR,Solanum triflorum Nutt.,cutleaf nightshade,Solanum,triflorum
SOAL6,Solidago altissima L.,Canada goldenrod,Solidago,altissima
SOBI,Solidago bicolor L.,white goldenrod,Solidago,bicolor
SOCA4,Solidago caesia L.,wreath goldenrod,Solidago,caesia
SOCAG,Solidago canadensis L. var. gilvocanescens Rydb.,shorthair goldenrod,Solidago,canadensis
SOCAH,Solidago canadensis L. var. hargeri Fernald,Harger's goldenrod,Solidago,canadensis
SOFL2,Solidago flexicaulis L.,zigzag goldenrod,Solidago,flexicaulis
SOGI,Solidago gigantea Aiton,giant goldenrod,Solidago,gigantea
SOHI,Solidago hispida Muhl. ex Willd.,hairy goldenrod,Solidago,hispida
SOJU,Solidago juncea Aiton,early goldenrod,Solidago,juncea
SOMI2,Solidago missouriensis Nutt.,Missouri goldenrod,Solidago,missouriensis
SONE,Solidago nemoralis Aiton,gray goldenrod,Solidago,nemoralis
SOPA2,Solidago patula Muhl. ex Willd.,roundleaf goldenrod,Solidago,patula
SORU2,Solidago rugosa Mill.,wrinkleleaf goldenrod,Solidago,rugosa
SOSE,Solidago sempervirens L.,seaside goldenrod,Solidago,sempervirens
SOSI3,Solidago simplex Kunth,Mt. Albert goldenrod,Solidago,simplex
SOSIR,Solidago simplex Kunth ssp. randii (Porter) Ringius,Rand's goldenrod,Solidago,simplex
SOSIO,Solidago simplex Kunth ssp. randii (Porter) Ringius var. ontarioensis (Ringius) Ringius,Ontario goldenrod,Solidago,simplex
SOSP2,Solidago speciosa Nutt.,showy goldenrod,Solidago,speciosa
SOUL,Solidago uliginosa Nutt.,bog goldenrod,Solidago,uliginosa
SOUL2,Solidago ulmifolia Muhl. ex Willd.,elmleaf goldenrod,Solidago,ulmifolia
SOAM3,Sorbus americana Marshall,American mountain ash,Sorbus,americana
SODE3,Sorbus decora (Sarg.) C.K. Schneid.,northern mountain ash,Sorbus,decora
SONU2,Sorghastrum nutans (L.) Nash,Indiangrass,Sorghastrum,nutans
SPAM,Sparganium americanum Nutt.,American bur-reed,Sparganium,americanum
SPAN,Sparganium androcladum (Engelm.) Morong,branched bur-reed,Sparganium,androcladum
SPAN2,Sparganium angustifolium Michx.,narrowleaf bur-reed,Sparganium,angustifolium
SPEM2,Sparganium emersum Rehmann,European bur-reed,Sparganium,emersum
SPEU,Sparganium eurycarpum Engelm.,broadfruit bur-reed,Sparganium,eurycarpum
SPFL,Sparganium fluctuans (Engelm. ex Morong) B.L. Rob.,floating bur-reed,Sparganium,fluctuans
SPNA,Sparganium natans L.,small bur-reed,Sparganium,natans
SPPA,Spartina patens (Aiton) Muhl.,saltmeadow cordgrass,Spartina,patens
SPPE,Spartina pectinata Bosc ex Link,prairie cordgrass,Spartina,pectinata
SPSA5,Spergularia salina J. Presl & C. Presl,salt sandspurry,Spergularia,salina
SPIN3,Sphenopholis intermedia (Rydb.) Rydb.,slender wedgescale,Sphenopholis,intermedia
SPNI,Sphenopholis nitida (Biehler) Scribn.,shiny wedgescale,Sphenopholis,nitida
SPOB,Sphenopholis obtusata (Michx.) Scribn.,prairie wedgescale,Sphenopholis,obtusata
SPAL2,Spiraea alba Du Roi,white meadowsweet,Spiraea,alba
SPSE,Spiraea septentrionalis (Fernald) Á. Löve & D. Löve,northern meadowsweet,Spiraea,septentrionalis
SPTO2,Spiraea tomentosa L.,steeplebush,Spiraea,tomentosa
SPBO3,Spiranthes ×borealis P.M. Brown [casei × ochroleuca],lady's tresses,Spiranthes,×borealis
SPCA6,Spiranthes casei Catling & Cruise,Case's lady's tresses,Spiranthes,casei
SPCE,Spiranthes cernua (L.) Rich.,nodding lady's tresses,Spiranthes,cernua
SPLA4,Spiranthes lacera (Raf.) Raf.,northern slender lady's tresses,Spiranthes,lacera
SPLU2,Spiranthes lucida (H.H. Eaton) Ames,shining lady's tresses,Spiranthes,lucida
SPMA5,Spiranthes magnicamporum Sheviak,Great Plains lady's tresses,Spiranthes,magnicamporum
SPOC,Spiranthes ochroleuca (Rydb.) Rydb.,yellow nodding lady's tresses,Spiranthes,ochroleuca
SPOV,Spiranthes ovalis Lindl.,October lady's tresses,Spiranthes,ovalis
SPRO,Spiranthes romanzoffiana Cham.,hooded lady's tresses,Spiranthes,romanzoffiana
SPTU,Spiranthes tuberosa Raf.,little lady's tresses,Spiranthes,tuberosa
SPVE,Spiranthes vernalis Engelm. & A. Gray,spring lady's tresses,Spiranthes,vernalis
SPPO,Spirodela polyrrhiza (L.) Schleid.,common duckmeat,Spirodela,polyrrhiza
SPCO16,Sporobolus compositus (Poir.) Merr.,composite dropseed,Sporobolus,compositus
SPCO4,Sporobolus contractus Hitchc.,spike dropseed,Sporobolus,contractus
SPCR,Sporobolus cryptandrus (Torr.) A. Gray,sand dropseed,Sporobolus,cryptandrus
SPHE,Sporobolus heterolepis (A. Gray) A. Gray,prairie dropseed,Sporobolus,heterolepis
SPNE2,Sporobolus neglectus Nash,puffsheath dropseed,Sporobolus,neglectus
SPVA,Sporobolus vaginiflorus (Torr. ex A. Gray) Alph. Wood,poverty dropseed,Sporobolus,vaginiflorus
STHY3,Stachys hyssopifolia Michx.,hyssopleaf hedgenettle,Stachys,hyssopifolia
STPA,Stachys palustris L.,marsh hedgenettle,Stachys,palustris
STPI6,Stachys pilosa Nutt.,hairy hedgenettle,Stachys,pilosa
STTE,Stachys tenuifolia Willd.,smooth hedgenettle,Stachys,tenuifolia
STTR,Staphylea trifolia L.,American bladdernut,Staphylea,trifolia
STBO3,Stellaria borealis Bigelow,boreal starwort,Stellaria,borealis
STCR,Stellaria crassifolia Ehrh.,fleshy starwort,Stellaria,crassifolia
STLO,Stellaria longifolia Muhl. ex Willd.,longleaf starwort,Stellaria,longifolia
STLO2,Stellaria longipes Goldie,longstalk starwort,Stellaria,longipes
STGR2,Stenanthium gramineum (Ker Gawl.) Morong,eastern featherbells,Stenanthium,gramineum
STNI6,Stenaria nigricans (Lam.) Terrell,diamond-flowers,Stenaria,nigricans
STNIN,Stenaria nigricans (Lam.) Terrell var. nigricans,diamondflowers,Stenaria,nigricans
STAM2,Streptopus amplexifolius (L.) DC.,claspleaf twistedstalk,Streptopus,amplexifolius
STLA16,Streptopus lanceolatus (Aiton) Reveal,twistedstalk,Streptopus,lanceolatus
STHE9,Strophostyles helvola (L.) Elliott,amberique-bean,Strophostyles,helvola
STFI6,Stuckenia filiformis (Pers.) Börner,fineleaf pondweed,Stuckenia,filiformis
STPE15,Stuckenia pectinata (L.) Börner,sago pondweed,Stuckenia,pectinata
STVA8,Stuckenia vaginata (Turcz.) Holub,sheathed pondweed,Stuckenia,vaginata
STDI3,Stylophorum diphyllum (Michx.) Nutt.,celandine poppy,Stylophorum,diphyllum
SUCA2,Suaeda calceoliformis (Hook.) Moq.,Pursh seepweed,Suaeda,calceoliformis
SUAQ,Subularia aquatica L.,waterawlwort,Subularia,aquatica
SUAQA2,Subularia aquatica L. var. americana (G. Mulligan & Calder) B. Boivin,American waterawlwort,Subularia,aquatica
SYAL,Symphoricarpos albus (L.) S.F. Blake,common snowberry,Symphoricarpos,albus
SYOC,Symphoricarpos occidentalis Hook.,western snowberry,Symphoricarpos,occidentalis
SYOR,Symphoricarpos orbiculatus Moench,coralberry,Symphoricarpos,orbiculatus
SYBO2,Symphyotrichum boreale (Torr. & A. Gray) Á. Löve & D. Löve,northern bog aster,Symphyotrichum,boreale
SYCI2,Symphyotrichum ciliatum (Ledeb.) G.L. Nesom,rayless alkali aster,Symphyotrichum,ciliatum
SYCI,Symphyotrichum ciliolatum (Lindl.) Á. Löve & D. Löve,Lindley's aster,Symphyotrichum,ciliolatum
SYCO4,Symphyotrichum cordifolium (L.) G.L. Nesom,common blue wood aster,Symphyotrichum,cordifolium
SYDR,Symphyotrichum drummondii (Lindl.) G.L. Nesom,Drummond's aster,Symphyotrichum,drummondii
SYDU2,Symphyotrichum dumosum (L.) G.L. Nesom,rice button aster,Symphyotrichum,dumosum
SYER,Symphyotrichum ericoides (L.) G.L. Nesom,white heath aster,Symphyotrichum,ericoides
SYLA3,Symphyotrichum laeve (L.) Á. Löve & D. Löve,smooth blue aster,Symphyotrichum,laeve
SYLA6,Symphyotrichum lanceolatum (Willd.) G.L. Nesom,white panicle aster,Symphyotrichum,lanceolatum
SYLA4,Symphyotrichum lateriflorum (L.) Á. Löve & D. Löve,calico aster,Symphyotrichum,lateriflorum
SYNO2,Symphyotrichum novae-angliae (L.) G.L. Nesom,New England aster,Symphyotrichum,novae-angliae
SYON2,Symphyotrichum ontarionis (Wiegand) G.L. Nesom,bottomland aster,Symphyotrichum,ontarionis
SYOO,Symphyotrichum oolentangiense (Riddell) G.L. Nesom,skyblue aster,Symphyotrichum,oolentangiense
SYPA11,Symphyotrichum patens (Aiton) G.L. Nesom,late purple aster,Symphyotrichum,patens
SYPI2,Symphyotrichum pilosum (Willd.) G.L. Nesom,hairy white oldfield aster,Symphyotrichum,pilosum
SYPIP2,Symphyotrichum pilosum (Willd.) G.L. Nesom var. pringlei (A. Gray) G.L. Nesom,Pringle's aster,Symphyotrichum,pilosum
SYPR5,Symphyotrichum praealtum (Poir.) G.L. Nesom,willowleaf aster,Symphyotrichum,praealtum
SYPR6,Symphyotrichum prenanthoides (Muhl. ex Willd.) G.L. Nesom,crookedstem aster,Symphyotrichum,prenanthoides
SYPU,Symphyotrichum puniceum (L.) Á. Löve & D. Löve,purplestem aster,Symphyotrichum,puniceum
SYRO3,Symphyotrichum robynsianum (Rouss.) L. Brouillet & Labrecque,longleaf aster,Symphyotrichum,robynsianum
SYSE2,Symphyotrichum sericeum (Vent.) G.L. Nesom,western silver aster,Symphyotrichum,sericeum
SYSH,Symphyotrichum shortii (Lindl.) G.L. Nesom,Short's aster,Symphyotrichum,shortii
SYSU5,Symphyotrichum subulatum (Michx.) G.L. Nesom,eastern annual saltmarsh aster,Symphyotrichum,subulatum
SYUR,Symphyotrichum urophyllum (Lindl.) G.L. Nesom,white arrowleaf aster,Symphyotrichum,urophyllum
SYFO,Symplocarpus foetidus (L.) Salisb. ex W.P.C. Barton,skunk cabbage,Symplocarpus,foetidus
TAIN,Taenidia integerrima (L.) Drude,yellow pimpernel,Taenidia,integerrima
TABI,Tanacetum bipinnatum (L.) Sch. Bip.,Lake Huron tansy,Tanacetum,bipinnatum
TAOF,Taraxacum officinale F.H. Wigg.,common dandelion,Taraxacum,officinale
TACA7,Taxus canadensis Marshall,Canada yew,Taxus,canadensis
TEVI,Tephrosia virginiana (L.) Pers.,Virginia tephrosia,Tephrosia,virginiana
TEHE4,Tetraneuris herbacea Greene,eastern fournerved daisy,Tetraneuris,herbacea
TECA3,Teucrium canadense L.,Canada germander,Teucrium,canadense
TECAO,Teucrium canadense L. var. occidentale (A. Gray) E.M. McClint. & Epling,western germander,Teucrium,canadense
THDA,Thalictrum dasycarpum Fisch. & Avé-Lall.,purple meadow-rue,Thalictrum,dasycarpum
THDI,Thalictrum dioicum L.,early meadow-rue,Thalictrum,dioicum
THPU2,Thalictrum pubescens Pursh,king of the meadow,Thalictrum,pubescens
THRE,Thalictrum revolutum DC.,waxyleaf meadow-rue,Thalictrum,revolutum
THTH2,Thalictrum thalictroides (L.) Eames & B. Boivin,rue anemone,Thalictrum,thalictroides
THVE,Thalictrum venulosum Trel.,veiny meadow-rue,Thalictrum,venulosum
THBA,Thaspium barbinode (Michx.) Nutt.,hairyjoint meadowparsnip,Thaspium,barbinode
THTR,Thaspium trifoliatum (L.) A. Gray,purple meadowparsnip,Thaspium,trifoliatum
THME,Thelesperma megapotamicum (Spreng.) Kuntze,Hopi tea greenthread,Thelesperma,megapotamicum
THNO,Thelypteris noveboracensis (L.) Nieuwl.,New York fern,Thelypteris,noveboracensis
THPA,Thelypteris palustris Schott,eastern marsh fern,Thelypteris,palustris
THOC2,Thuja occidentalis L.,arborvitae,Thuja,occidentalis
TICO,Tiarella cordifolia L.,heartleaf foamflower,Tiarella,cordifolia
TIAM,Tilia americana L.,American basswood,Tilia,americana
TIDI,Tipularia discolor (Pursh) Nutt.,crippled cranefly,Tipularia,discolor
TOPU,Tofieldia pusilla (Michx.) Pers.,Scotch false asphodel,Tofieldia,pusilla
TOPA6,Torreyochloa pallida (Torr.) Church,pale false mannagrass,Torreyochloa,pallida
TOPAF,Torreyochloa pallida (Torr.) Church var. fernaldii (Hitchc.) Dore ex Koyama & Kawano,Fernald's false mannagrass,Torreyochloa,pallida
TORA2,Toxicodendron radicans (L.) Kuntze,eastern poison ivy,Toxicodendron,radicans
TORY,Toxicodendron rydbergii (Small ex Rydb.) Greene,western poison ivy,Toxicodendron,rydbergii
TOVE,Toxicodendron vernix (L.) Kuntze,poison sumac,Toxicodendron,vernix
TRBR,Tradescantia bracteata Small,longbract spiderwort,Tradescantia,bracteata
TROH,Tradescantia ohiensis Raf.,bluejacket,Tradescantia,ohiensis
TRVI,Tradescantia virginiana L.,Virginia spiderwort,Tradescantia,virginiana
TRFR,Triadenum fraseri (Spach) Gleason,Fraser's marsh St. Johnswort,Triadenum,fraseri
TRVI2,Triadenum virginicum (L.) Raf.,Virginia marsh St. Johnswort,Triadenum,virginicum
TRGL5,Triantha glutinosa (Michx.) Baker,sticky tofieldia,Triantha,glutinosa
TRAL7,Trichophorum alpinum (L.) Pers.,alpine bulrush,Trichophorum,alpinum
TRCE3,Trichophorum cespitosum (L.) Hartm.,tufted bulrush,Trichophorum,cespitosum
TRCL4,Trichophorum clintonii (A. Gray) S.G. Sm.,Clinton's bulrush,Trichophorum,clintonii
TRBR5,Trichostema brachiatum L.,fluxweed,Trichostema,brachiatum
TRDI2,Trichostema dichotomum L.,forked bluecurls,Trichostema,dichotomum
